game_id,game_date,season,home_team_id,home_team_abbr,home_is_home,home_opponent_abbr,home_win,home_roll_win_pct,home_roll_pts,home_roll_off_rtg,home_roll_ts,home_roll_pace,home_roll_tov,home_roll_oreb,home_roll_reb,home_roll_ast,home_roll_fg3_rate,home_rest_days,home_season_win_pct,away_team_id,away_team_abbr,away_is_home,away_opponent_abbr,away_win,away_roll_win_pct,away_roll_pts,away_roll_off_rtg,away_roll_ts,away_roll_pace,away_roll_tov,away_roll_oreb,away_roll_reb,away_roll_ast,away_roll_fg3_rate,away_rest_days,away_season_win_pct,diff_roll_win_pct,diff_roll_pts,diff_roll_off_rtg,diff_roll_ts,diff_roll_pace,diff_roll_tov,diff_roll_oreb,diff_roll_reb,diff_roll_ast,diff_roll_fg3_rate,diff_rest_days,diff_season_win_pct
0022200349,2022-12-04,2022-23,1610612764,WAS,1,LAL,0,0.4,113.3,112.46718307285809,0.569452132816008,101.02000000000001,13.1,10.7,44.9,26.0,0.38945005611672284,2.0,0.4782608695652174,1610612747,LAL,0,WAS,1,0.7,121.0,118.39733667984915,0.6050645635951434,102.32,13.4,10.1,46.6,26.0,0.3215507411630559,2.0,0.42857142857142855,-0.29999999999999993,-7.700000000000003,-5.930153606991055,-0.03561243077913534,-1.299999999999983,-0.3000000000000007,0.5999999999999996,-1.7000000000000028,0.0,0.06789931495366697,0.0,0.04968944099378886
0022200389,2022-12-10,2022-23,1610612764,WAS,1,LAC,0,0.2,114.5,114.15646532904036,0.5730915247886681,100.7,12.4,10.8,42.7,24.0,0.36670416197975253,1.0,0.4230769230769231,1610612746,LAC,0,WAS,1,0.4,111.2,110.44590799923637,0.5585804107510552,100.8,14.7,12.9,45.9,24.0,0.35600907029478457,2.0,0.5185185185185185,-0.2,3.299999999999997,3.71055732980399,0.014511114037612849,-0.09999999999999432,-2.299999999999999,-2.0999999999999996,-3.1999999999999957,0.0,0.010695091684967961,-1.0,-0.09544159544159542
0022200403,2022-12-12,2022-23,1610612764,WAS,1,BKN,0,0.1,114.6,114.73707447727061,0.5778797354612769,100.24,12.1,10.2,42.8,24.5,0.3700340522133939,2.0,0.4074074074074074,1610612751,BKN,0,WAS,1,0.8,114.6,116.48092735951718,0.6169495434079697,98.42,15.0,8.9,41.4,25.4,0.3714622641509434,2.0,0.5714285714285714,-0.7000000000000001,0.0,-1.7438528822465713,-0.03906980794669279,1.8199999999999932,-2.9000000000000004,1.299999999999999,1.3999999999999986,-0.8999999999999986,-0.001428211937549495,0.0,-0.164021164021164
0022200506,2022-12-27,2022-23,1610612764,WAS,1,PHI,1,0.2,111.7,112.04890077544515,0.5893318913159554,99.82,13.0,7.0,40.2,24.8,0.36449704142011835,4.0,0.38235294117647056,1610612755,PHI,0,WAS,0,0.8,119.2,117.36252114129908,0.6143816459136529,101.78,13.7,8.0,41.6,26.6,0.41491841491841497,2.0,0.625,-0.6000000000000001,-7.5,-5.313620365853936,-0.025049754597697427,-1.960000000000008,-0.6999999999999993,-1.0,-1.3999999999999986,-1.8000000000000007,-0.05042137349829662,2.0,-0.24264705882352944
0022200516,2022-12-28,2022-23,1610612764,WAS,1,PHX,1,0.3,112.2,113.52153353151247,0.5907731543367757,98.9,12.7,7.8,40.3,24.4,0.36643026004728135,1.0,0.4,1610612756,PHX,0,WAS,0,0.4,115.7,116.33338436117572,0.5694393613735531,99.58,12.3,13.8,43.4,26.4,0.4099783080260303,1.0,0.5714285714285714,-0.10000000000000003,-3.5,-2.8118508296632427,0.021333792963222575,-0.6799999999999926,0.3999999999999986,-6.000000000000001,-3.1000000000000014,-2.0,-0.04354804797874895,0.0,-0.17142857142857137
0022200605,2023-01-09,2022-23,1610612764,WAS,1,NOP,0,0.6,117.0,116.63057978903585,0.6045381290955865,100.53999999999999,13.8,9.4,45.0,25.1,0.3395565927654609,3.0,0.425,1610612740,NOP,0,WAS,1,0.6,116.3,113.08631149000621,0.5718742885467922,103.08000000000001,15.4,13.0,47.5,23.5,0.36281179138321995,2.0,0.6,0.0,0.7000000000000028,3.544268299029639,0.03266384054879423,-2.5400000000000205,-1.5999999999999996,-3.5999999999999996,-2.5,1.6000000000000014,-0.023255198617759043,1.0,-0.175
0022200619,2023-01-11,2022-23,1610612764,WAS,1,CHI,1,0.6,116.5,116.40401544738206,0.6113969899549382,100.3,14.8,9.1,43.9,25.3,0.33886255924170616,2.0,0.4146341463414634,1610612741,CHI,0,WAS,0,0.6,119.5,120.13719677423883,0.6088678233319865,99.55999999999999,10.3,8.0,42.5,22.4,0.3265073947667804,2.0,0.4634146341463415,0.0,-3.0,-3.7331813268567657,0.002529166622951662,0.7400000000000091,4.5,1.0999999999999996,1.3999999999999986,2.900000000000002,0.01235516447492574,0.0,-0.04878048780487809
0022200634,2023-01-13,2022-23,1610612764,WAS,1,NYK,0,0.6,115.2,114.96636451725439,0.607514508146345,100.36,15.6,9.4,45.0,25.2,0.33333333333333337,2.0,0.42857142857142855,1610612752,NYK,0,WAS,1,0.5,113.0,117.25272795436256,0.5620748963642719,96.47999999999999,9.8,13.2,47.3,21.8,0.43959731543624153,2.0,0.5476190476190477,0.09999999999999998,2.200000000000003,-2.2863634371081645,0.04543961178207312,3.8800000000000097,5.799999999999999,-3.799999999999999,-2.299999999999997,3.3999999999999986,-0.10626398210290816,0.0,-0.11904761904761912
0022200660,2023-01-16,2022-23,1610612764,WAS,1,GSW,0,0.6,114.8,114.25095130884259,0.5966350183772088,100.62,15.3,10.3,46.3,25.0,0.35355892648774795,3.0,0.4186046511627907,1610612744,GSW,0,WAS,1,0.6,120.1,114.00722317799784,0.5790875005988811,105.47999999999999,14.7,12.3,49.5,29.6,0.5031914893617021,1.0,0.4883720930232558,0.0,-5.299999999999997,0.24372813084474387,0.017547517778327637,-4.859999999999985,0.6000000000000014,-2.0,-3.200000000000003,-4.600000000000001,-0.14963256287395416,2.0,-0.06976744186046507
0022200693,2023-01-21,2022-23,1610612764,WAS,1,ORL,1,0.5,114.1,113.47853824513564,0.5919183508475805,100.7,15.6,10.8,47.2,26.1,0.36416184971098264,3.0,0.4222222222222222,1610612753,ORL,0,WAS,0,0.4,112.4,111.85193075719356,0.5771720807012795,100.76,13.1,9.1,41.1,24.1,0.363953488372093,1.0,0.37777777777777777,0.09999999999999998,1.6999999999999886,1.6266074879420813,0.014746270146301033,-0.060000000000002274,2.5,1.700000000000001,6.100000000000001,2.0,0.00020836133888962882,2.0,0.04444444444444445
